R,G,B,H,S,V,Pixel,Berat,Class,Lebar
158,79,21,107,237,159,18003,36,belum matang,0.9929617178
156,79,23,107,234,156,17625,36,belum matang,1.1238110792
175,99,26,105,235,175,21246,36,belum matang,1.0198143515
138,77,17,104,242,129,13530,36,belum matang,1.0331978117
180,103,26,104,236,178,18372,36,belum matang,1.0104305844
144,67,18,108,239,143,14697,36,belum matang,0.9508185404
130,64,16,108,240,123,15864,36,belum matang,1.0005550326
111,61,11,105,245,108,11331,36,belum matang,0.9393563717
156,108,22,100,236,154,16572,36,belum matang,0.9613245033
126,82,13,99,246,111,12336,36,belum matang,0.9809863946
105,32,14,114,236,102,21843,51,matang,0.9138678727
124,41,18,114,232,119,24846,51,matang,1.0119757386
114,43,22,113,224,106,26742,51,matang,1.0025490197
163,57,29,113,225,164,24537,51,matang,1.0429343065
181,67,34,113,220,182,29961,51,matang,0.9345046261
127,41,20,114,232,120,20991,51,matang,1.0276113732
103,34,17,114,228,100,24771,51,matang,0.9263911286
105,32,16,115,238,100,19845,51,matang,0.9910476661
104,31,16,114,235,101,20871,51,matang,1.0827154492
164,58,30,113,220,164,32925,51,matang,0.9189462505
107,32,16,114,237,103,21636,51,matang,1.0048446768
109,34,16,114,237,107,20424,51,matang,0.9427576525
114,36,15,114,238,109,20286,51,matang,0.9467630059
153,54,22,112,234,152,23991,51,matang,0.9172529644
143,51,25,113,225,142,25125,51,matang,1.0220750763
138,53,21,112,233,140,15075,39,Setengah matang,0.9974444444
177,79,25,109,234,180,15711,39,Setengah matang,0.955
143,63,15,109,241,146,13560,39,Setengah matang,1.0386330237
167,72,26,110,231,170,19137,39,Setengah matang,1.0008785841
137,52,20,112,233,136,15477,39,Setengah matang,0.9857547102
172,70,25,111,233,173,17583,39,Setengah matang,1.0573221631
138,48,17,112,239,136,15753,39,Setengah matang,0.8798490717
132,47,19,113,239,126,14790,39,Setengah matang,0.9885551382
145,55,17,111,238,146,15504,39,Setengah matang,0.955
131,50,16,110,240,128,12897,39,Setengah matang,0.945591133
166,68,22,110,236,167,17160,39,Setengah matang,0.9217253222
155,57,21,112,236,159,16797,39,Setengah matang,0.9263533698
171,67,27,111,232,173,18993,39,Setengah matang,1.0914285714
132,53,16,110,239,129,13182,39,Setengah matang,1.0539982545
136,55,15,109,243,136,14463,39,Setengah matang,0.9266382348
